Date,Open,High,Low,Close,Adj Close,Volume,Day
9/23/2013,60.830002,60.900002,60.220001,60.490002,53.587067,7157200,0
9/24/2013,60.540001,60.990002,60.330002,60.650002,53.728817,3862600,1
9/25/2013,60.68,60.709999,60.189999,60.279999,53.40102,5720700,2
9/26/2013,60.279999,60.869999,60.279999,60.849998,53.905979,3516800,3
9/27/2013,60.639999,60.93,60.59,60.860001,53.914845,4953300,4
9/30/2013,60.23,60.779999,60.169998,60.630001,53.71109,5381600,5
10/1/2013,60.599998,61.16,60.599998,61.119999,54.145164,6192300,6
10/2/2013,60.889999,61.110001,60.549999,61.099998,54.127449,5518300,7
10/3/2013,60.919998,61.150002,60.150002,60.41,53.516201,5199200,8
10/4/2013,60.57,61.07,60.380001,60.98,54.021149,3969200,9
10/7/2013,60.560001,60.709999,60.119999,60.119999,53.259289,5309200,10
10/8/2013,60.200001,60.200001,59.119999,59.169998,52.417709,7899500,11
10/9/2013,59.189999,59.23,58.450001,58.900002,52.178501,11607900,12
10/10/2013,59.549999,60.34,59.549999,60.27,53.392166,6104400,13
10/11/2013,60.200001,60.790001,60.150002,60.790001,53.852837,8827800,14
10/14/2013,60.43,61.049999,60.32,61.040001,54.074299,6048800,15
10/15/2013,60.919998,60.950001,60.360001,60.459999,53.560478,13368100,16
10/16/2013,60.860001,61.25,60.709999,61.209999,54.224895,5537800,17
10/17/2013,60.950001,61.700001,60.950001,61.66,54.623543,4935800,18
10/18/2013,61.869999,62.150002,61.669998,62.040001,54.960182,5243300,19
10/21/2013,62.139999,62.200001,61.900002,62.200001,55.101925,3158000,20
10/22/2013,62.439999,62.830002,62.240002,62.619999,55.473991,6774700,21
10/23/2013,62.369999,62.59,62.009998,62.220001,55.119644,5246400,22
10/24/2013,62.509998,62.889999,62.34,62.84,55.668896,5124200,23
10/25/2013,63.169998,63.389999,62.970001,63.310001,56.085262,3882500,24
10/28/2013,63.27,63.299999,62.939999,63.189999,55.978958,4898700,25
10/29/2013,63.389999,63.560001,63.029999,63.560001,56.306728,7715900,26
10/30/2013,63.759998,63.799999,62.880001,63.25,56.032112,5721100,27
10/31/2013,63.259998,63.810001,63.110001,63.41,56.173836,7640500,28
11/1/2013,63.709999,63.740002,63.209999,63.560001,56.306728,4412800,29
11/4/2013,63.650002,63.830002,63.459999,63.779999,56.501629,4990600,30
11/5/2013,63.599998,63.91,63.200001,63.779999,56.501629,4016500,31
11/6/2013,64.050003,64.209999,63.509998,63.619999,56.359875,4523700,32
11/7/2013,63.810001,63.889999,62.25,62.299999,55.190517,9667700,33
11/8/2013,62.450001,63.32,62.330002,63.290001,56.067528,8287200,34
11/11/2013,63.34,63.529999,63.119999,63.389999,56.156124,5229200,35
